Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,5023361,"Café soluble descafeinado NESCAFÉ, caja 100 sobres",174538,NESCAFÉ professional descafeinado sobre 2g contiene 100 unidades,0.26702284812927246,
True Positive,289462,"Chocolate a la taza RAM, brik 1 litro",192972,RAM chocolate tazabrik 1 L,0.26849645376205444,
True Positive,318410,"Vinagre de vino blanco EROSKI basic, botella 1 litro",346632,METRO Chef vinagre vino blanco botella 1l contiene 6 unidades,0.2700497508049011,
True Positive,788398,"Fideos chinos con huevo SOUBRY, paquete 250 g",411736,Soubry fideo chino al huevo bolsa 250g,0.2714121341705322,
True Positive,24107625,"Mantequilla con sal KERRYGOLD, pastilla 200 g",200502,Kerrygold  mantequilla con sal 200 g,0.2754197120666504,
True Positive,20244737,"Yogur griego natural azucarado OIKOS, pack 4x110 g",500006,OIKOS yogur griego natural azucarado 110 g contiene 4 unidades (total 440 g),0.27628183364868164,
True Positive,5981733,"Chistorra EROSKI MAESTRO, pieza 220 g",154653,Chistorra arbizu bolsa 3kg al vacío,0.2801470160484314,
True Positive,12722906,"Sobrasada ELPOZO, tarrina 250 g",33499,Elpozo sobrasada extra 250g,0.2826123833656311,
True Positive,3740826,"Filete de panceta de cerdo, bandeja aprox. 1.01 kg",183483,Filetes panceta de cerdo para plancha bandeja precio kg,0.2851128578186035,
True Positive,579359,"Yogur original con fresas DANONE, pack 2x130 g",519285,DANONe yogur original con fresas 135 g contiene 2 unidades,0.2876492738723755,
True Positive,216309,"Bacón OSCAR MAYER, bandeja 150 g",168933,Oscar Mayer bacon loncheado 500 g caja contiene 2 unidades (total 1 kg),0.2905021905899048,
True Positive,14708085,"Alubia negrita LUENGO, paquete 500 g",195225,Luengo alubia negrita 500g,0.2912001609802246,
True Positive,26459040,"Obleas para empanadillas estilo argentino BUITONI, paquete 350 g",220773,Buitoni oblea para empanadilla 280g,0.29198646545410156,
True Positive,11016706,"Canónigos EROSKI, bolsa 125 g",73250,Canónigos bolsa 200g,0.2942906618118286,
True Positive,18409979,"Salmón ahumado Ecobio MARTIKO, sobre 80 g",202274,Martiko salmón ahumado eco-bio 80g,0.2945115566253662,
True Positive,20244729,"Yogur griego natural OIKOS, pack 4x110 g",526292,OIKOS yogur griego natural 110 g contiene 4 unidades (total 440 g),0.29956185817718506,
True Positive,15749484,"Caldo casero de pescado GALLINA BLANCA, brik 1 litro",124645,Gallina Blanca caldo casero pescado marisco brik 1l,0.30510592460632324,
True Positive,21816376,"Bonito del norte aceite de oliva EROSKI, frasco 615 g",99964,METRO Chef bonito msc aceite oliva frasco 260 gne (400 g),0.3074336051940918,
True Positive,1404,"Champiñón laminado EROSKI, bandeja 250 g",723736,Champiñón laminado bandeja 1kg,0.31019681692123413,
True Positive,16491052,"Lechuga Batavia del País Vasco, unidad",186123,Lechuga del país Batavia en caja de 6 unidades.,0.31264978647232056,
True Positive,368704,"Jugo de carne BOVRIL, frasco 125 g",213337,BOVRIL caldo Concentrado de carne bote 250g,0.3144989013671875,
True Positive,2424000,"Espárrago blanco grueso 9/12 piezas EROSKI, lata 250 g",78814,makro Chef espárrago punta blanca 13-16 piezas lata 500gne (780 g),0.3175479769706726,
True Positive,15072630,"Masa para minipizzas BUITONI, bolsa 265 g",5734,Buitoni masa mini pizza 265 g contiene 8 unidades,0.31853342056274414,
True Positive,446807,"Mostaza antigua MAILLE, frasco 210 g",213179,MAILLE mostaza antigua frasco 845 g,0.3194704055786133,
True Positive,22688477,"Tortilla integral MEXIFOODS, paquete 320 g",217374,Mexifoods tortilla integral 25 cm contiene 20 unidades 1260 g,0.32352960109710693,
True Positive,17625138,"Cardo troceado EROSKI, frasco 400 g",87294,makro Chef cardo frasco 360gne (660 g),0.3246258497238159,
True Positive,19659911,"Leche desnatada sin lactosa PULEVA M. ligeras, botella 1 litro",167086,PULEVA leche desnatada sin lactosa 1 L contiene 6 botellas,0.32466042041778564,
True Positive,788042,"Fideos chinos SOUBRY, paquete 250 g",411645,Soubry fideo chino bolsa 250g,0.32569754123687744,
True Positive,23840614,"Bloc de Foie gras de pato Mi Muit ZUBIA, blister 40 g",160725,Zubia foiegras pato micuit unidad 400g,0.3272440731525421,
True Positive,10956696,"Queso Mascarpone GALBANI, tarrina 250 g",209175,Galbani Professionale queso mascarpone 41% materia grasa 2 Kg,0.32772016525268555,
True Positive,19659903,"Leche semi sin lactosa PULEVA M. ligeras, botella 1 litro",167085,PULEVA leche semidesnatada sin lactosa 1 L contiene 6 botellas,0.3282405138015747,
True Positive,18293068,"Melocotón en almíbar ligero EROSKI, lata 480 g",216308,aro melocotón gajo en almíbar lata 1535 gne (2600 g),0.33982670307159424,
True Positive,9702234,"Chuleta de aguja de cerdo XXL EROSKI, bandeja aprox. 1.2 kg",183487,Chuleta aguja de cerdo bandeja precio kg,0.34006595611572266,
True Positive,15617756,"Leche semidesnatada sin lactosa ASTURIANA, brik 1 litro",136651,Central Lechera Asturiana leche semidesnatada sin lactosa brik 1 L contiene 6 unidades,0.34374380111694336,
True Positive,24281651,"Piña en rodajas DEL MONTE, pack 3x145 g",150120,Del Monte piña en su jugo lata 510 gne (820 g),0.3446289896965027,
True Positive,14708119,"Garbanzo pedrosillano LUENGO, paquete 500 g",37028,Luengo garbanzo pedrosillano 5kg,0.3464142084121704,
True Positive,16008674,"Polpa MUTTI, pack 2x210 g",156597,MUTTI tomate polpa lata 2835 gne (4100 g),0.34667348861694336,
True Positive,19659887,"Leche entera sin lactosa PULEVA M. ligeras, botella 1 litro",167084,PULEVA leche entera sin lactosa 1 L contiene 6 botellas,0.347356915473938,
True Positive,540856,"Café molido FORTALEZA G. Orígenes Colombia, caja 250 g",3629,Fortaleza café molido Colombia 250g contiene 4 unidades,0.3498978614807129,
True Positive,901330,"Salsa alioli EROSKI, bote 300 ml",170287,"METRO Chef salsa alioli bidón 1,85l",0.35570675134658813,
True Positive,10956704,"Queso Ricotta GALBANI, tarrina 250 g",173570,"Galbani Professionale queso ricotta tarrina 1,5 Kg",0.35662388801574707,
True Positive,19522218,"Chimichurri picante SALSAS ASTURIANAS, frasco 295 g",42751,Salsas Asturianas chimichurri picante gourmet botella 1l,0.36012911796569824,
True Positive,23475064,"Salsa ligera EROSKI, bote 430 ml",914251,makro Chef salsa fina cubo 5l,0.3645540475845337,
True Positive,18395848,"Foie de canard ZUBIA, lata 130 g",160692,Zubia foie canard 90% pato lata 950g,0.36550724506378174,
True Positive,25605015,"Salmón ahumado noruego tradicional MARTIKO, sobre 80 g",41060,Martiko salmón ahumado noruego,0.36685383319854736,
True Positive,15212111,"Salsa de soja gluten free KIKKOMAN, frasco 250 g",168990,Kikkoman salsa de soja sin gluten botella 1l,0.3686981201171875,
True Positive,20150868,"Mantequilla ASTURIANA, pastilla 1 kg",29073,Asturiana mantequilla bloque 5 Kg,0.36875128746032715,
True Positive,307892,"Tomate triturado EROSKI BASIC, lata 400 g",218527,METRO Chef tomate triturado lata 2500 gne,0.37414801120758057,
True Positive,18503847,"Alubia pinta LUENGO, paquete 500 g",37022,Luengo alubia pinta 5kg,0.3756192922592163,
True Positive,24563496,"Masa de empanda TARRADELLAS, paquete 230 g",214418,Casa Tarradellas masa empanada fresca blister 230g,0.3784215450286865,
True Positive,16546491,"Masa de hojaldre rectangular BUITONI, paquete 230 g",135699,Buitoni masa hojaldre rectangular 230g,0.3801231384277344,
True Positive,11033529,"Polvo para hornear impulsor gasificante ROYAL, bote 113 g",166439,Royal Baking Powder levadura en polvo bote 900g ,0.38329553604125977,
True Positive,19522168,"Chimichurri SALSAS ASTURIANAS, frasco 295 g",42743,Salsas Asturianas chimichurri gourmet botella 1l,0.3843596875667572,
True Positive,21197256,"Tortilla de trigo mini MEXIFOODS, bolsa 250 g",770575,Mexifoods tortilla trigo 20cm  20 unidades (contiene 820 g),0.39008188247680664,
True Positive,16438699,"Levadura de panadería ROYAL, caja 27,5 g",135968,"Royal levadura panadería 27,5g",0.3912367820739746,
True Positive,21770318,"Masa de empanadilla Napolita LA NAPOLITANA, paquete 420 g",217335,La napolitana masa empanadillas 420g,0.3920443058013916,
True Positive,23158256,"Arroz con leche REINA, tarrina 500 g",190685,Reina arroz con leche 130 g contiene 4 unidades,0.3978952169418335,
True Positive,13227376,"Masa para pizza TARRADELLAS, paquete 260 g",214419,Casa Tarradellas masa pizza familiar fresca blister 400g,0.4034256935119629,
True Positive,18843334,"Leche entera sin lactosa EROSKI, brik 1 litro",199288,makro Chef leche entera sin lactosa brik 1 L contiene 6 unidades,0.4060370922088623,
True Positive,18699249,"Chuleta de lomo de cerdo, bandeja aprox. 800 g",183506,Chuleta lomo cerdo en bandeja precio kg,0.4097015857696533,
True Positive,24287278,"Ketjap manis GO-TAN, botella 270 ml",191511,GO-TAN salsa soja dulce ketjap 270 ml,0.40976059436798096,
True Positive,25889874,"Salchicha Bockwurst SELEQTIA, pack 4x90 g",201870,"makro Chef salchicha Bockwurst gigante 1,450kg",0.4174352288246155,
True Positive,25310897,"Queso de oveja de leche cruda añejo POK, cuña 250 g",61616,Pok queso oveja añejo pieza 500 g,0.4184279441833496,
True Positive,23429483,"Alubia roja cocida EROSKI BIO, frasco 400 g",210436,METRO Chef alubia roja cocida al natural frasco 400gne (540 g),0.4195311963558197,
True Positive,25613399,"Chorizo extra picante LA GLORIA RIOJANA, sarta 230 g",53048,La Gloria Riojana sarta artesana picante pieza 230g,0.41954851150512695,
True Positive,14879274,"Leche semidesnatada sin lactosa EROSKI, brik 1 litro",199294,makro Chef leche semi sin lactosa brik 1 L contiene 6 unidades,0.42169129848480225,
True Positive,16623084,"Leche sin lactosa desnatada EROSKI, brik 1 litro",199295,makro Chef leche desnatada sin lactosa brik 1 L contiene 6 unidades,0.42279326915740967,
True Positive,5018213,"Chuletillas de cordero, bandeja aprox. 1.2 kg",206969,"Chuletas palo cordero bandeja 1,5 kg",0.42451465129852295,
True Positive,368720,"Salsa picante TABASCO, frasco 60 g",722124,TABASCO  salsa picante botella 150 ml,0.42492997646331787,
