Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,3913001,"Bebida isotónica Ice Storm POWERADE, botellín 50 cl",217015,N/A,0.5976210832595825,
True Positive,315341,"Brandy MAGNO, botella 70 cl",504907,N/A,0.6044421195983887,
True Positive,564187,"Champagne Brut POMMERY, botella 75 cl",88356,N/A,0.6523436903953552,
True Positive,564500,"Vino Blanco Chardonay VIÑAS DEL VERO, botella 75 cl",132509,N/A,0.6565940380096436,
True Positive,244327,"Vino Rosado D.O. Navarra PLENO, botella 75 cl",131098,N/A,0.6589394807815552,
True Positive,13115258,"Corvina EROSKI NATUR GGN, pieza al peso aprox. 2 kg",220585,N/A,0.6602272987365723,
True Positive,26170613,"Yogur griego natural con azúcar PASTORET, tarrina 125 g",113894,N/A,0.661416232585907,
True Positive,3209202,"Pacharán IGP Navarra LA NAVARRA, botella 1 litro",202163,N/A,0.6671813726425171,
True Positive,315366,"Brandy VETERANO, botella 1 litro",76674,N/A,0.6672552227973938,
True Positive,17141706,"Vino Blanco D.O. Rueda CUNE, botella 75 cl",160331,N/A,0.6677954196929932,
True Positive,318485,"Vino Blanco Rioja MONOPOLE, botella 75 cl",64909,N/A,0.6680205464363098,
True Positive,974899,"Ron Imperial BARCELÓ, botella 70 cl",702234,N/A,0.6777206659317017,
True Positive,24243362,"Tartar de salmón ahumado MARTIKO, pack 2x75 g",210973,N/A,0.6840712428092957,
True Positive,3209111,"Pacharán IGP Navarra ETXEKO, botella 1 litro",203242,N/A,0.7516248822212219,
True Positive,23498223,"Multidesinfectante SANICENTRO, pistola 750 ml",141653,N/A,0.7572116255760193,
True Positive,26154831,"Bebida sin alcohol 0,0 BEEFEATER, botella 70 cl",215723,N/A,0.7731451988220215,
True Positive,14218069,"Aperitivo APEROL, botella 70 cl",94928,N/A,0.77983558177948,
True Positive,23633456,"Vermouth Rojo LA COPA, botella 75 cl",162866,N/A,0.9541258811950684,
True Positive,23689490,"Calabaza limpia en trozos EROSKI, bandeja 750 g",213740,N/A,1.0006296634674072,
,16036055,"Paté de hígado de oca superior MARTIKO, lata 130 g",545597,N/A,0.025424495339393616,False Positive
,5001243,"Aceite de oliva virgen extra OLEOESTEPA, botella 1 litro",136457,N/A,0.03685366362333298,False Positive
,16619744,"Aceite de oliva virgen extra LA ESPAÑOLA, botella 75 cl",68745,N/A,0.04259078949689865,False Positive
,26399378,"Tónica pink SCHWEPPES ZERO, lata 25 cl",217515,N/A,0.050844185054302216,False Positive
,9143769,"Ginebra TANQUERAY, botella 1 litro",561379,N/A,0.05333935096859932,False Positive
,16012437,"Bonito del norte en aceite de oliva ARROYABE, lata 900 g",103994,N/A,0.061750710010528564,False Positive
,8661282,"Ginebra GORDON`S, botella 1 litros",42265,N/A,0.06451014429330826,False Positive
,228049,"Mayonesa YBARRA, frasco 225 ml",23728,N/A,0.06674143671989441,False Positive
,12206371,"Mayonesa HELLMANN'S, frasco 825 ml",52204,N/A,0.07301272451877594,False Positive
,591750,"Refresco de té al limón sin azúcar NESTEA, lata 33 cl",220215,N/A,0.07984627038240433,False Positive
,23456866,"Yogur artesano sabor frambuesa PASTORET, tarrina 125 g",211298,N/A,0.08260223269462585,False Positive
,394007,"Espárrago 8/12 piezas CARRETILLA, lata 150 g",2850,N/A,0.08919152617454529,False Positive
,360883,"Whisky FOUR ROSES BOURBON, botella 70 cl",90097,N/A,0.09723911434412003,False Positive
,25213596,"Cacao soluble turbo COLA CAO, maleta 2,5 kg + Regalo",891475,N/A,0.10258771479129791,False Positive
,15211717,"Huevo sorpresa KINDER JOY, pack 6x20 g",345137,N/A,0.10480047762393951,False Positive
,26705814,"Refresco de té al limón NESTEA, pack 12x33 cl",220218,N/A,0.10512559860944748,False Positive
,300269,"Barrita de chocolate con leche TOBLERONE, pack 3x50 g",68715,N/A,0.10598550736904144,False Positive
,25925983,"Margarina vegetal con sal y sin palma TULIPÁN, tarrina 225 g",204703,N/A,0.1078682392835617,False Positive
,6606255,"Whisky escocés JB, botella 1 litro",247000,N/A,0.1162499487400055,False Positive
,17365370,"Ginebra Strawberry PUERTO DE INDIAS, botella 70 cl",201389,N/A,0.11887955665588379,False Positive
,17680406,"Mayonesa HELLMANN'S, bocabajo 250 ml",216587,N/A,0.1193530261516571,False Positive
,310722,"Refresco de manzana KAS, lata 33 cl",198022,N/A,0.12218213081359863,False Positive
,25556283,"Tónica SCHWEPPES ZERO, botellín 20 cl",208483,N/A,0.12322364747524261,False Positive
,23152903,"Confitura de melocotón HELIOS, pack 10x25 g",212821,N/A,0.12652906775474548,False Positive
,25082165,"Margarina vegetal sin aceite de palma FLORA, tarrina 225 g",204704,N/A,0.1269722282886505,False Positive
,25213588,"Cacao soluble original COLA CAO, maleta 2,5 kg",891215,N/A,0.12886589765548706,False Positive
,22885206,"Queso de oveja añejo de leche cruda CERRATO, cuña 350 g",54948,N/A,0.1302947998046875,False Positive
,23153356,"Confitura de ciruela HELIOS, pack 10x25 g",212822,N/A,0.13064897060394287,False Positive
,22016737,"Cerveza 0,0 tostada MAHOU, pack 12x33 cl",166551,N/A,0.13486671447753906,False Positive
,24879348,"Bebida de soja ALPRO, brik 1 litro",217339,N/A,0.13700968027114868,False Positive
,17766478,"Mermelada de tomate LA VIEJA FABRICA C. SELECTA, frasco 285 g",93121,N/A,0.13848188519477844,False Positive
,15991888,"Tónica NORDIC MIST, botella 1 litro",860678,N/A,0.1397383213043213,False Positive
,24257297,"Cacao soluble 0% COLA CAO, caja 1,6 kg",199792,N/A,0.14006701111793518,False Positive
,23513294,"Chocolatinas mini original HUESITOS, paquete 270 g",135846,N/A,0.1407250165939331,False Positive
,16551004,"Cerveza 0,0 SAN MIGUEL, pack lata 12x33 cl",273715,N/A,0.14387744665145874,False Positive
,15264633,"Tequila JOSÈ CUERVO SILVER, botella 70 cl",221771,N/A,0.14571614563465118,False Positive
,314716,"Gelatina en hojas VAHINÉ, bolsa 17 g",124754,N/A,0.14640063047409058,False Positive
,19501378,"Cerveza 0,0 tostada MAHOU, lata 33 cl",192443,N/A,0.1496598720550537,False Positive
,17702424,"Grageas de chocolate LACASITOS, bolsa 65 g",78760,N/A,0.15248514711856842,False Positive
,26603936,"Aceite de oliva virgen extra COOSUR, spray 40 cl",222336,N/A,0.155999094247818,False Positive
,825505,"Cacao soluble COLA CAO, 6 unid., caja 108 g",125283,N/A,0.1616540551185608,False Positive
,232710,"Queso mezcla semicurado G. BAQUERO, al corte, compra mínima 250 g",254917,N/A,0.16217878460884094,False Positive
,10924439,"Barrita de chocolate White KINDER BUENO, paquete 43 g",95528,N/A,0.16374102234840393,False Positive
,50757,"Mermelada de naranja LA VIEJA FABRICA, frasco 365 g",515424,N/A,0.1671844720840454,False Positive
,822403,"Mejillón en escabeche 13/18 piezas ISABEL, lata 115 g",216810,N/A,0.16790908575057983,False Positive
,24879363,"Bebida de soja sin azucares añadidos ALPRO, brik 1 litro",217344,N/A,0.16826185584068298,False Positive
,20166856,"Chorizo extra picante de León PALCARSA, bandeja 100 g",128205,N/A,0.17233610153198242,False Positive
,8420002,"Whisky DYC, botella 1,5 litros",19825,N/A,0.17317651212215424,False Positive
,17001116,"Leche fermentada líquida sabor fresa DANONE, botella 550 g",139911,N/A,0.1732274293899536,False Positive
,204230,"Yogur sabor a limón DANONE, pack 4x120 g",6238,N/A,0.17375685274600983,False Positive
,26411371,"Bloc foie de pato MARTIKO, lata 130 g",76239,N/A,0.17559170722961426,False Positive
,242180,"Chorizo tradición dulce REVILLA, al corte, compra mínima 100 g",220700,N/A,0.17733493447303772,False Positive
,26591560,"Tarta Donostiarra CASA ECEIZA, caja 200 g",207928,N/A,0.17766617238521576,False Positive
,9153966,"Ron 7 años FLOR de CAÑA, botella 70 cl",136479,N/A,0.17785674333572388,False Positive
,16510695,"Yogur desnatado natural PASTORET, tarrina 500 g",136926,N/A,0.17895475029945374,False Positive
